countrycode,countryname,adminone,adminlevel,population,date,datatype,fcs people,fcs prevalence,rcsi people,rcsi prevalence,health access people,health access prevalence,market access people,market access prevalence
#country+code,#country+name,#adm1+name,#meta+adminlevel,#population+total,#date,#data+type,#population+fcs,#indicator+fcs+prevalence,#population+rcsi,#indicator+rcsi+prevalence,#population+health_access,#indicator+health_access+prevalence,#population+market_access,#indicator+market_access+prevalence
MDG,Madagascar,,national,,2024-01-12,SURVEY,8437415,0.32140929347906827,6657773,0.253616790933481,2288414,0.08717331845620568,3418831,0.13023468321328896
MDG,Madagascar,,national,,2024-01-11,SURVEY,8366340,0.3187018095477902,6677098,0.25435295207065883,2224759,0.0847484925044626,3303225,0.12583085646931672
MDG,Madagascar,,national,,2024-01-10,SURVEY,8410689,0.3203912109529011,6562992,0.250006272171649,2270944,0.08650783326711205,3268838,0.12452094544733046
MDG,Madagascar,,national,,2024-01-09,SURVEY,8420603,0.3207688682964774,6550754,0.2495400757399094,2271646,0.08653458333362261,3249007,0.12376550651827152
MDG,Madagascar,,national,,2024-01-08,SURVEY,8523043,0.32467114974452704,6566154,0.25012671457546487,2288343,0.08717062287095592,3223801,0.12280532523287867
MDG,Madagascar,,national,,2024-01-07,SURVEY,8637837,0.3290440362785705,6651572,0.25338058468440583,2317579,0.08828432585678854,3262870,0.12429360096678214
MDG,Madagascar,,national,,2024-01-06,SURVEY,8768623,0.3340261114588186,6768154,0.2578215715710949,2313100,0.08811370597446566,3208684,0.12222947583119143
MDG,Madagascar,,national,,2024-01-05,SURVEY,8792908,0.3349512081492314,6748693,0.25708023713864186,2333131,0.08887675252205181,3225117,0.12285544605373333
MDG,Madagascar,,national,,2023-12-04,SURVEY,9503583,0.36202319046173315,8031839,0.30595955020911336,2573170,0.09802063637609593,3578953,0.13633427766066836
MDG,Madagascar,Alaotra Mangoro,subnational,1234447,2024-03-04,SURVEY,291455,0.23610167143668379,278704,0.22577234988622435,28167,0.022817504518217468,105450,0.08542286546121464
MDG,Madagascar,Amoron I Mania,subnational,859365,2024-03-04,SURVEY,370973,0.43168269594409825,295194,0.34350246984692184,44835,0.05217223302438637,73579,0.08562016205967403
MDG,Madagascar,Analamanga,subnational,4024795,2024-03-04,SURVEY,937266,0.232872978623756,1237495,0.30746783376544645,481836,0.11971690483614693,358509,0.08907507793520275
MDG,Madagascar,Analanjirofo,subnational,1244087,2024-03-04,SURVEY,261716,0.21036792442972235,243557,0.19577167834725384,63114,0.05073115847558096,73503,0.05908185729680621
MDG,Madagascar,Androy,subnational,882088,2024-03-04,SURVEY,400983,0.45458389639128977,322623,0.3657492222998159,96278,0.10914784012479481,264186,0.2995007300858871
MDG,Madagascar,Anosy,subnational,807418,2024-03-04,SURVEY,411578,0.509745881315502,348774,0.4319621311390135,56788,0.07033280358626412,127144,0.1574698607165062
MDG,Madagascar,Atsimo Andrefana,subnational,1582561,2024-03-04,SURVEY,537948,0.339922442168106,626611,0.39594745479005233,77735,0.04911973483455425,167946,0.10612292353975612
MDG,Madagascar,Atsimo Atsinanana,subnational,1080117,2024-03-04,SURVEY,504152,0.46675684208284846,301575,0.27920586380919843,102931,0.09529618631991653,166902,0.15452214898941505
MDG,Madagascar,Atsinanana,subnational,1527185,2024-03-04,SURVEY,406037,0.2658728313858505,527842,0.34563068652455337,120339,0.07879788752798073,284242,0.18612152424231512
MDG,Madagascar,Betsiboka,subnational,352773,2024-03-04,SURVEY,87409,0.2477768990257191,106901,0.303030560728854,17584,0.04984506457807943,29321,0.08311576302012992
MDG,Madagascar,Boeny,subnational,961100,2024-03-04,SURVEY,281937,0.29334824680054106,281382,0.29277078347726565,107309,0.11165227343668713,105831,0.11011445219019872
MDG,Madagascar,Bongolava,subnational,549694,2024-03-04,SURVEY,119339,0.21710078698330343,150040,0.27295186048965425,8856,0.016110784857030196,37197,0.0676685844830141
MDG,Madagascar,Diana,subnational,841329,2024-03-04,SURVEY,188978,0.22461843107749763,174616,0.20754782017498508,100048,0.11891661882569125,55120,0.06551536015044505
MDG,Madagascar,Haute Matsiatra,subnational,1441255,2024-03-04,SURVEY,630233,0.43728070327596436,467377,0.32428473795407475,186362,0.12930536234046022,110814,0.07688717275069605
MDG,Madagascar,Ihorombe,subnational,375351,2024-03-04,SURVEY,126184,0.33617600592512076,98353,0.2620294071415821,24385,0.06496584562982641,37140,0.09894742482637837
MDG,Madagascar,Itasy,subnational,880767,2024-03-04,SURVEY,208160,0.23633946321785443,237781,0.26997037809091395,34242,0.03887746671639955,53615,0.06087310428979353
MDG,Madagascar,Melaky,subnational,348053,2024-03-04,SURVEY,106235,0.30522680808700464,100205,0.28790155522291144,11349,0.032607106201929345,34391,0.09880967392638576
MDG,Madagascar,Menabe,subnational,711639,2024-03-04,SURVEY,191210,0.26868933376359533,227481,0.31965786023531595,86565,0.12164173127105175,92229,0.12960082288913338
MDG,Madagascar,Sava,subnational,1178796,2024-03-04,SURVEY,379380,0.3218368572679242,240595,0.2041023213516164,77505,0.06574928995347795,157007,0.1331926813460514
MDG,Madagascar,Sofia,subnational,1498769,2024-03-04,SURVEY,505567,0.3373214951737059,358787,0.2393877909137432,83307,0.05558362117891473,156718,0.10456447924930393
MDG,Madagascar,Vakinankaratra,subnational,2167330,2024-03-04,SURVEY,627494,0.2895239765056544,613050,0.28285955530537576,183980,0.08488786589859497,295259,0.13623167676357545
MDG,Madagascar,Vatovavy Fitovinany,subnational,1702391,2024-03-04,SURVEY,882713,0.5185136669543013,577566,0.3392675360713256,161915,0.09511038578447954,393974,0.23142392082664912
MDG,Madagascar,Alaotra Mangoro,subnational,1234447,2024-03-03,SURVEY,294026,0.2381843853968619,267644,0.2168128724846024,30771,0.02492695857440844,105409,0.08538967782554414
MDG,Madagascar,Amoron I Mania,subnational,859365,2024-03-03,SURVEY,370973,0.43168269594409825,295194,0.34350246984692184,44835,0.05217223302438637,73579,0.08562016205967403
MDG,Madagascar,Analamanga,subnational,4024795,2024-03-03,SURVEY,1037362,0.2577428167148886,1154097,0.2867467784073474,498503,0.12385798531353773,388859,0.09661584282282798
MDG,Madagascar,Analanjirofo,subnational,1244087,2024-03-03,SURVEY,261716,0.21036792442972235,243557,0.19577167834725384,63114,0.05073115847558096,73503,0.05908185729680621
MDG,Madagascar,Androy,subnational,882088,2024-03-03,SURVEY,399458,0.4528550439411941,321358,0.3643151250215398,95610,0.10839054606796601,263315,0.2985133002602915
MDG,Madagascar,Anosy,subnational,807418,2024-03-03,SURVEY,422697,0.52351693918144,361478,0.44769623664570274,64765,0.08021247978122856,133154,0.16491334104515876
MDG,Madagascar,Atsimo Andrefana,subnational,1582561,2024-03-03,SURVEY,535359,0.3382864862713033,629104,0.3975227495180281,76755,0.04850051953890705,168185,0.10627394457464831
MDG,Madagascar,Atsimo Atsinanana,subnational,1080117,2024-03-03,SURVEY,511710,0.4737542321804027,298456,0.27631821367500004,106024,0.09815974621490177,173539,0.16066685368344355
MDG,Madagascar,Atsinanana,subnational,1527185,2024-03-03,SURVEY,407737,0.2669859905643389,526939,0.3450394025609209,120974,0.07921370881890616,283818,0.18584388924720976
MDG,Madagascar,Betsiboka,subnational,352773,2024-03-03,SURVEY,86973,0.2465409767754335,108127,0.30650588338676715,17370,0.04923844735566941,29016,0.08225121736868357
MDG,Madagascar,Boeny,subnational,961100,2024-03-03,SURVEY,281937,0.29334824680054106,281382,0.29277078347726565,107309,0.11165227343668713,105831,0.11011445219019872
MDG,Madagascar,Bongolava,subnational,549694,2024-03-03,SURVEY,122874,0.22353163760201133,143179,0.2604701103180009,8685,0.015799693149281948,38761,0.07051377675579504
MDG,Madagascar,Diana,subnational,841329,2024-03-03,SURVEY,188978,0.22461843107749763,174616,0.20754782017498508,100048,0.11891661882569125,55120,0.06551536015044505
MDG,Madagascar,Haute Matsiatra,subnational,1441255,2024-03-03,SURVEY,630018,0.43713152773103997,464284,0.322138691626395,186442,0.12936086951996698,112194,0.07784464843528809
MDG,Madagascar,Ihorombe,subnational,375351,2024-03-03,SURVEY,126184,0.33617600592512076,98353,0.2620294071415821,24385,0.06496584562982641,37140,0.09894742482637837
MDG,Madagascar,Itasy,subnational,880767,2024-03-03,SURVEY,208160,0.23633946321785443,237781,0.26997037809091395,34242,0.03887746671639955,53615,0.06087310428979353
MDG,Madagascar,Melaky,subnational,348053,2024-03-03,SURVEY,106235,0.30522680808700464,100205,0.28790155522291144,11349,0.032607106201929345,34391,0.09880967392638576
MDG,Madagascar,Menabe,subnational,711639,2024-03-03,SURVEY,191210,0.26868933376359533,227481,0.31965786023531595,86565,0.12164173127105175,92229,0.12960082288913338
MDG,Madagascar,Sava,subnational,1178796,2024-03-03,SURVEY,379380,0.3218368572679242,240595,0.2041023213516164,77505,0.06574928995347795,157007,0.1331926813460514
MDG,Madagascar,Sofia,subnational,1498769,2024-03-03,SURVEY,506945,0.3382409163787081,358367,0.2391075609383434,83370,0.05562563342917255,156658,0.1045245509202263
MDG,Madagascar,Vakinankaratra,subnational,2167330,2024-03-03,SURVEY,627494,0.2895239765056544,613050,0.28285955530537576,183980,0.08488786589859497,295259,0.13623167676357545
MDG,Madagascar,Vatovavy Fitovinany,subnational,1702391,2024-03-03,SURVEY,906593,0.5325409967510402,563002,0.3307125096408522,162951,0.09571889401723907,391694,0.2300846280319856
